"idno","Admin Agency","email","url","year","approp_title","fund_code","eligibility","bond_sale_date","bond_series_number","amount_of_bond","category","subcategory","county","state_amount","chapter_section","reversion_date","valid_encumbrance_amount","expended_amount","aipp_amount_bof","reversion_amount","appropriation_balance","last_update","icip_project_number","icip_priority_number","local_fiscal_agent","amount_obligated","project_end_date","expended_amount_state","aipp_amount","reauth_of_balance_to_new","reauth_to_project_number","reversion_amount_two","project_status","goal_milestone_last_quarter","goal_milestone_next_quarter","project_phase","current_balance","last_agency_update","last_submission_date","expended_amount_local","current_balance_local","project_status_local","project_phase_local","goal_milestone_last_quarter_local","goal_milestone_next_quarter_local","valid_contracts_in_place","no_activity_for_month","last_submission_date_local","last_update_local"
"12-1378","Environment Department","mailto:edith.gallegos1@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1378","2012","PERALTA-BOSQUE FARMS WASTEWATER SYSTEM","SEVERANCE TAX BONDS","","6/21/12","STB12A","250000","Local","Water & Wastewater (water lines, wells, sewer, treatment, etc.)","Valencia","250000","64 / 11/ 54","6/30/16","0","225849","0","0","24151","5/26/15 0:00","19101","2014 / 1","14004 - Peralta","0","***","225849","0","0","","0","As of 3-11-15 bids for phase 1A sewer collection came in high and Peralta will use this grant in conjunction with DOT loan for construction costs.","Completed design phase 1A-DOT project","Award construction contract phase 1A","0200 - Purchase in Process - Ad/Bid","24151","5/26/15 0:00","3/16/15 0:00","225848","24151","Bids let with NMDOT. Contractor bids came in at double the estimated price. Discussions with NMDOT. Waiting on Legislation to see if we get Capital Outlay. Waiting on DOT to award contract to AUI.","","Bid documents submitted. Waiting on DOT","Construction to begin.","TRUE","TRUE","1/1/80 0:00","4/29/15 0:00"
"12-1180","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1180","2012","GOB-ALTS BONNIE DALLAS SENIOR CENTER IMPROVE-CODE","GENERAL OBLIGATION BONDS","","4/23/13","GOB13","27100","Local","Senior Citizens","San Juan","27100","54 / 10/A/ 80","6/30/16","0","0","0","0","27100","5/26/15 0:00","1180","/","16003 - Farmington","0","***","0","0","0","","0","Grant agreement is fully executed.  Funds are intended to upgrade main south entrance to ADA compliance installing a 3-door breezeway with door openers, replace evaporative coolers and replace with refrigerated air conditioning, upgrade furnace, replace ice machine","Plans are being submitted to State Bulding Inspector for approval.  Combined with 2013-1194 are being used for the Development, Design, and Building on site a KILN Building and is currently in the Development and Design Phase","Receive approval of the design and allow grantee to proceed with construction of the kiln bldg","0210 - Project in Design","27100","5/26/15 0:00","3/16/15 0:00","0","27100","Grant agreement is fully executed. Project is still in the design phase. Plans to be submitted to state for approval. No funds have been expended as of 5/31/15.","","Plans submitted for approval.","The plans and drawings have been reviewed and accepted by the State Building Inspector for permit issuance.","FALSE","FALSE","1/1/80 0:00","5/27/15 0:00"
"12-1316","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1316","2012","WEST MESA HIGH SCHL FAMILY RESOURCE CTR INFO TECH","SEVERANCE TAX BONDS","","6/21/12","STB12A","35000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","35000","64 / 8/ 54","6/30/16","0","35000","0","0","0","5/26/15 0:00","","/","02112 - Albuquerque Public Schools","0","***","35000","0","0","","0","project complete","","","0250 - Project Closed","0","5/26/15 0:00","1/1/80 0:00","24155","10845","Expended Amount:24,154.95. Purchase in Process Amount:10,816.40","","","","TRUE","FALSE","5/20/13 0:00","5/20/13 0:00"
"12-1360","Environment Department","mailto:edith.gallegos1@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1360","2012","CLOUDCROFT POTABLE WASTEWATER REUSE PROJECT","SEVERANCE TAX BONDS","","6/21/12","STB12A","772000","Local","Water & Wastewater (water lines, wells, sewer, treatment, etc.)","Otero","772000","64 / 11/ 32","6/30/16","0","772000","0","0","0","5/26/15 0:00","1","/","15002 - Cloudcroft","0","***","772000","0","0","","0","95  bid documents for RO/UF WTP submitted to NMED for review 5/5/2014. CPB provided comments to engineer 6/6/2014. DWB provided comments 8/25/2014. Funds fully expended, project closed.","NMED reviewed 95% bid documents for RO/UF WTP and provided comments to engineer.","Approval of revised WTP bid documents and advertise project for bids. Submittal of WWTP bid documents to NMED for review.","0250 - Project Closed","0","5/26/15 0:00","11/26/14 0:00","695744","76256","Engineer has forwarded re-bid docs to NMED for approval.Re-Bids to be opened on Feb. 7, 2013. Met w/ NMED   Engineer on Jan. 18, 2013, to discuss plans of progress for the project.---Re-bids opened on 02/07/13-waiting on contractor to verify correct license of sub-contractor. Lowest bid received on 02/07/13, was over budget. NMED approved additional  shopping  for lower price. Recv d bid from from Guaranteed Waterproofing of Sandy, Utah. Notice of award on 04/01/2013. Agmt executed 04/16/2013. Guaranteed Waterproofing will begin work at the site on 05/22/13. Guaranteed waterproofing is currently working on the basin repair and coating. Engineer is also preparing bid docs for completion of project. A Change Order   1  has been submitted for additional repair work to be done to the basins. Project not finished as of date. Engineer working on bid docs to finish RO building. Further leak testing being done on basins. Cleaning and repair of cover on reservoir completed by Layfield. Engineer still working on getting bid docs out for completion of project. Xylem Water Solutions to visit project site on 02/03/2014, to discuss temp elec service for the RO and UF units that they need to bump the blowers at the WWTP. Xylem representatives negotiating with the Village of RO/UF membranes replacement. Xylem revised submittal drawings and O M should be finalized in 4 weeks. Projected time-line from Engineer: Ad for Bids May 2014  Bid Open June 2014  Construction July - Sept, 2014  Startup Oct-Dec, 2014  Testing period Jan-Mar, 2015  Mar 2015 system on-line. Engineer is preparing a revised project time-line  estimated O M costs and an amendment to the current contract. Change Order No. 4 for the membrane water purification system submitted by engineer. Engineer is working on the schedule for the PURe RO/UF. Engineer revising plans and specs with comments received from NMED to proceed with RFP. Meeting with Xylem on Dec. 5. Sole Source for Xylem posted on Nove. 6.","","Revision of plans and specs","Bid opening and award.","TRUE","FALSE","11/17/14 0:00","11/17/14 0:00"
"12-1306","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1306","2012","HAWTHORNE ELEM SCHL INFO TECH/COMM SYS/PHONES","SEVERANCE TAX BONDS","","6/21/12","STB12A","45000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","45000","64 / 8/ 37","6/30/16","0","44999","0","1","0","5/26/15 0:00","","/","02112 - Albuquerque Public Schools","0","***","44999","0","0","","1","project complete","","","0250 - Project Closed","0","5/26/15 0:00","1/1/80 0:00","26489","18511","Expended amount:26,489.35. Purchase in Process Amount:18,509.75","","","","TRUE","FALSE","5/20/13 0:00","5/20/13 0:00"
"12-1110","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1110","2012","GOB-ALTS PARADISE HILLS SENIOR CENTER EQUIP","GENERAL OBLIGATION BONDS","","4/23/13","GOB13","50340","Local","Senior Citizens","Bernalillo","50340","54 / 10/A/ 10","6/30/16","0","23254","0","0","27086","5/26/15 0:00","","/","02000 - Bernalillo County","0","***","23254","0","0","","0","Bernalillo County provided a scope of work.  Grant agreement is fully executed.  Funds will be used for purchase/installation of equipment/furnishings for kitchen and dining room.// Pending Purchase Order approval.12.31.14MC//  NOO Albuquerque Office Systems, NM Clay, Mity Lite 2/17/15 RM","Recommended the county utilize other funds for piano and pool table.  NOO issued for NM Clay, ABQ Office Systems, MITY LITE for $23,253.82 on 02/17/2015.","Complete the purchase and installation of equipment and process the first pay request","0200 - Purchase in Process","27086","5/26/15 0:00","3/16/15 0:00","23254","27086","Additional equipment has been specd. Pending ALTSD approval of future expenditures. LRL 05/01/2015","","Additional equipment has been specd. Pending ALTSD approval of future expenditures. LRL 05/01/2015","Sound panels for main activity room.etch glazing for senior safety, chairs, tables for game room, projector, sound systm, roll down overhead doors for equip storage; portable PA system.","FALSE","FALSE","5/1/15 0:00","5/5/15 0:00"
"12-1178","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1178","2012","GOB-ALTS BECLABITO CHP SENIOR CENTER RENOVATE","GENERAL OBLIGATION BONDS","","4/23/13","GOB13","170000","Local","Senior Citizens","San Juan","170000","54 / 10/A/ 78","6/30/16","0","0","0","0","170000","5/26/15 0:00","","/","13019 - Navajo Nation","0","***","0","0","0","","0","Grant agreement is fully executed; Special Conditions Met 8/25/14.  Funds are intended to plan, design, renovate and equip parking lot.","Project is in design phasw.  Awaiting copy of contract to issue notice of obligation.","Issue notice of obligation and send out memo reminding grantee on upcoming deadlines","0210 - Project in Design","170000","5/26/15 0:00","3/16/15 0:00","0","170000","5/14/15BW project is progressing, NDOT is working with Iina Bah on design selected by the community of Beclabito and Chapter.  4/13/15bw Met with Beclabito Chapter on April 2, 2015, design has been completed by Iina Bah and presented to Beclabito Chapter, and currently NDOT is working on bidding process.  Chapter had question on reimbursements and prior approvals.  2/5/15BW Beclabito Chapter issued  Notice to Proceed  to Iina Baa Architect of Farmington, NM for architectural services for parking lot.  Beclabito Chapter incurring cost for A/E services by Iina Baa.  Contact person Melissa Kelly.  1/6/15BW  Beclabito Chapter with Inii Bah to do plan and design, the chapter will pay for the A/E services with chapter funds.  9/16/14BW Grant Agreement pending with OMB Contract Grants for business units.  7/1/14BW-NMALTSD is waiting on clarification on response to special conditions, grant agreement completed 164 process and is pending signature by NMALTSD.  3/6/14bw due to governor s executive order, NAAA has not received grant agreement from NMALTSD","","Design has been completed by Iinaa Bah.  Beclabito Chapter pursuing Architect for A/E Services and covering all cost.","A/E Services to be completed within a timely manner.","FALSE","FALSE","5/14/15 0:00","5/14/15 0:00"
"12-1126","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1126","2012","GOB-ALTS DONA ANA/PLACITAS SR CTR IMPROVE-CODE","GENERAL OBLIGATION BONDS","","4/23/13","GOB13","62500","Local","Senior Citizens","Dona Ana","62500","54 / 10/A/ 26","6/30/16","0","21366","0","0","41134","5/26/15 0:00","26990","2012 / 301","07000 - Dona Ana County","0","***","21366","0","0","","0","Grant agreement fully executed. Funds will be used to purchase/installation of fire suppression system to meet code per federal guidelines // Design for kitchen improvements & equipment purchase complete; awaiting cost proposal for kitchen improvement construction phase 7/10/14 RM","Notice of obligation issued for LC Structural for $80,006.32 split between 3 grants 2013-1126, 2013-1124 and LGD grant 2013-1697.","Allow the county to proceed with improvements to the center and purchase of necessary equipment","0220 - Project in Construction","41134","5/26/15 0:00","3/16/15 0:00","21366","41134","Period ending September 30, 2013: Pending grant agreement. Period ending October 30, 2013: Grant agreement was accepted by the Board of County Commission. Currently processing the grant agreement for signatures.
Period ending December 30, 2013: Received fully executed grant agreement and set up grant file. 
Period ending April 30, 2014: Approved purchase order to purchase equipment National Restaurant Equipment through CES contract and contracted with LC Structural and The Gordian Group under Job Order Contract to begin kitchen improvements on the Placitas kitchen.
Period ending May 30, 2013: Project under way. Design is approximately 85 percent complete. The Gordian Group fee was paid and is pending reimbursment request.  
Period ending July 30, 2014: Design is complete and waiting on quotes for construction cost. 
Period ending August 30, 2014: Design is complete. Procurement for the construction phase is pending Board of County Commission approval at their September 9, 2014 meeting. 3rd party obligation issued by ALTSD.","","Design is 95 percent complete. Design is complete. Procurement for the construction phase is pending Board of County Commission approval at their September 9, 2014 meeting. 3rd party obligation issued by ALTSD.","Receive approval and process a purchase order to begin construction phase.","TRUE","FALSE","1/1/80 0:00","9/5/14 0:00"
"12-1542","University of New Mexico","mailto:lchance@unm.edu","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1542","2012","UNM HOSPITAL MEDICAL EQUIPMENT","SEVERANCE TAX BONDS","","6/21/12","STB12A","477000","HED","Higher Education (facilities, equipment)","Bernalillo","477000","64 / 25/  4","6/30/14","0","477000","0","0","0","5/26/15 0:00","","/","","0","***","477000","0","0","","0","purchased four cardiac TEE ultrasound machines","","","0245 - Purchase Complete","0","5/26/15 0:00","12/21/12 0:00","0","0","","","","","","","",""
"12-1410","Department of Finance and Administration","mailto:JoleneM.Slowen@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1410","2012","SOUTH VALLEY MLTPRPS CTR RESPITE ADDITION","SEVERANCE TAX BONDS","","***","","0","Local","Community Facilities","Bernalillo","100000","64 / 16/  5","6/30/16","0","0","0","0","100000","8/14/14 0:00","","/","02000 - Bernalillo County","0","***","0","0","0","","100000","reauth out 14-2256","","","0250 - Project Closed","0","3/18/15 10:05","3/18/15 10:05","0","0","Project is not in construction and has no activity 8/01/2013 JV. No Activity 8/29/2013 JV, No Activity 9/30/2013 JV. No Activity 10/31/2013.  No Activity 11/30/2013. No Activity 12/30/2013 JV. No Activity 01/31/2014 JV. No Activity 2/26/2014 JV. Re-Authorized Laws 2014 SB 163 Section 9, 03/31/2014 JV.  Re-Authorized Laws 2014 SB 163 Section 9, 04/30/2014 JV.","","","","FALSE","TRUE","4/30/14 0:00","4/30/14 0:00"
"12-1106","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1106","2012","GOB-ALTS ALB DEPT SR AFFAIRS IMPROVE-CODE","GENERAL OBLIGATION BONDS","","4/23/13","GOB13","150000","Local","Senior Citizens","Bernalillo","150000","54 / 10/A/  6","6/30/16","0","0","0","0","150000","5/26/15 0:00","","/","02100 - Albuquerque","0","***","0","0","0","","0","Grant agreement is fully executed.  The plan is in process for Home Service-renovation for code compliance including restrooms","No progress this quarter.  Pending finalization of building acquisition with other funds.  Renovations will commence soon after.","Follow up with new CIP Dirctor for CABQ.","0210 - Project in Design","150000","5/26/15 0:00","3/16/15 0:00","0","150000","12/22/2014 - The City has purchased a new facility for the Home Services program with the assistance of the Family and Community Services Department.  The Department has identified the needed code improvements and is waiting on the MOU between the two Departments before rennovation and code improvements can begin.","","Begin rennovation on code issues","Move staff into facility","FALSE","TRUE","9/12/14 0:00","12/22/14 0:00"
"12-1159","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1159","2012","GOB-ALTS TUCUMCARI SENIOR CENTER EQUIP","GENERAL OBLIGATION BONDS","","4/23/13","GOB13","8900","Local","Senior Citizens","Quay","8900","54 / 10/A/ 59","6/30/16","0","0","0","0","8900","5/26/15 0:00","","/","10004 - Tucumcari","0","***","0","0","0","","0","Grant agreement is fully executed.  Funds will be used to purchase a stackable washer/dryer X 2, 50 chairs and 10 tables.  City is in transition after the grants administrator left for another job.","City is still dealing with transition of staff.","Contact grantee to determine if a technical assistance meeting is in order","0150 - Grant Agreement Issued","8900","5/26/15 0:00","3/16/15 0:00","0","8900","In the process of securing 3 bids for approved equipment purchase.","","Re-evaluated the needs and are working with ALTSD to revise priority needs for Tucumcari Senior Center.","Obtain NOO and proceed with purchase; project close-out.","FALSE","TRUE","12/12/14 0:00","12/12/14 0:00"
"12-1543","University of New Mexico","mailto:lchance@unm.edu","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1543","2012","UNM ROOF IMPROVEMENTS","SEVERANCE TAX BONDS","","6/21/12","STB12A","1197000","HED","Higher Education (facilities, equipment)","Bernalillo","1197000","64 / 25/  5","6/30/16","0","1197000","0","0","0","5/26/15 0:00","","/","99952 - University of New Mexico","0","***","1197000","0","0","","0","All roofing projects complete.","","","0240 - Project Complete","0","5/26/15 0:00","9/9/14 0:00","0","0","","","","","","","",""
"12-1245","Higher Education Department","mailto:vera.lyons@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1245","2012","GOB-SFCC ROOFING UPGRADES","GENERAL OBLIGATION BONDS","","4/23/13","GOB13","1000000","HED","Higher Education (facilities, equipment)","Santa Fe","1000000","54 / 10/C/  2","6/30/16","0","987857","0","0","12143","5/26/15 0:00","1245","/","99966 - Santa Fe Community College","0","***","987857","0","0","","0","99 percent of bond has been expended","Project has been completed, waitng final paper report and draw.","Project closeout","0220 - Project in Construction","12143","5/26/15 0:00","3/16/15 0:00","987857","12143","2nd phase completed","","Complete 2nd phase","Closeout","TRUE","TRUE","12/8/14 0:00","3/17/15 0:00"
"12-1613","General Services Department","mailto:pamela.nicosin@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1613","2012","CORRECTIONAL FACILITIES KITCHEN RENOVATIONS, RET","SEVERANCE TAX BONDS REAUTH","","***","","0","","","Multiple","0","63 / 60","6/30/14","0","1032511","0","0","0","5/26/15 0:00","","/","99770 - Department of Corrections","5852","10/31/14","1032511","0","0","","0","Project closed. 3/16/2015 at","Closed project","","0250 - Project Closed","5852","5/26/15 0:00","3/16/15 0:00","0","0","","","","","","","",""
"12-1247","NM Institute of Mining and Technology","mailto:mhidalgo@admin.nmt.edu","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1247","2012","GOB-NMIMT GEOLOGY FACILITY","GENERAL OBLIGATION BONDS","","4/23/13","GOB13","18000000","HED","Higher Education (facilities, equipment)","Socorro","18000000","54 / 10/C/  4","6/30/16","0","10490137","180000","0","7329863","5/26/15 0:00","","/","99962 - NM Institute of Mining and Technology","0","6/30/15","17820000","180000","0","","0","Project is on schedule and on budget.","99% completion, certificate of occupancy issued.","Project closed","0230 - Substantial Completion - Closeout","0","5/26/15 0:00","4/24/15 0:00","0","0","","","","","","","",""
"12-1384","Indian Affairs Department","mailto:rosemary.whitegeese@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1384","2012","MESCALERO APACHE STANDING PIPE TANK","SEVERANCE TAX BONDS","","6/21/12","STB12A","360000","Local","Water & Wastewater (water lines, wells, sewer, treatment, etc.)","Otero","360000","64 / 13/ 19","6/30/16","0","342000","0","0","18000","5/26/15 0:00","13161","2012 / 2","15004 - Mescalero Apache","0","***","55000","0","0","","0","The IGA agreement was sent to the Grantee on August 14, 2012 for signature. IGA is pending from Grantee. IGA Complete. Payment for 55k has been process for design service. Project under construction.","In construction","Close out project.","0220 - Project in Construction","305000","5/26/15 0:00","3/23/15 0:00","360000","0","Project in construction phase. Preparing payment requests to be sent to IAD.","","Construction in progress. 95% complete.","Completion set for April 25, 2015.","TRUE","FALSE","1/1/80 0:00","4/9/15 0:00"
"12-1380","Indian Affairs Department","mailto:rosemary.whitegeese@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1380","2012","ACOMA PUEBLO CHR PRGRM WHEELCHAIR LIFT VAN","SEVERANCE TAX BONDS","","6/21/12","STB12A","35000","Local","Vehicles (buses, trucks, heavy equipment, etc.)","Cibola","35000","64 / 13/  1","6/30/14","0","35000","0","0","0","5/26/15 0:00","","/","33003 - Acoma Pueblo","0","***","35000","0","0","","0","The IGA agreement was fully executed on August 30, 2012. The grantee can begin the expending process. Acoma has attempted the search for a handicap van and found a vendor willing to sell a van to meet their needs at the 35,000. Vendor decided to sell van to another bidder so now Acoma has to start over to search for a van. Acoma continues to seek a van to meet thier needs at the given price of 35,000. Acoma Pueblo has acquired and purchased a Van before 6/30/14. Acoma has been asked for a monthly report. Closing project.  Project closed final report recieved including VIN number.","Final report received, project closed.","","0250 - Project Closed","0","5/26/15 0:00","10/8/04 0:00","35000","0","Received our Severance Tax Bond on September 2012.
Made contact with Mr. Joseph Sanchez, Procurement/Purchasing Agent in October 2012 to start getting quotes with outside vendors.
November 2012 Mr. Sanchez sent me an email to let me know he was looking for quotes and found three places.
January 2013 discussed with Mr. Sanchez as to what avenues he took with the vendor he found that we are going to purchase the Handicap Van w/lift.
January 8, 2013 met with Mr. Sanchez as to when we will be able to go after the Handicap Van.
March 11, 2013 met with Tribal Official, Mr. Sanchez to go over details of the handicap van.
March 19, 2013 met with Accounting/Procurement staff to discuss the purchase of the Handicap Van w/lift we were offered by the vendor regarding price, warranty, vin number, etc.
April 16, 2013 the vendor decided to sell the Handicap Van to another company.
During this process it has been a difficult task but we are doing our best to find other avenues to conquer, we have been calling/visiting dealerships for quotes/bids. I went to our Tribal Administration to see if they could help us with additional funds and have also tried at the State level to see if they could match funds.  Due to budget cuts everyone seem to be short on funds.  We will continue to move forward to search and hoping that someone will be able to meet our needs.  Respectfully Submitted, Tonita Sarracino, CHR Director
7/17/2013 - Update on this report for the June 30, 2013.  As of this time the Pueblo of Acoma CHR Program has submitted a Special Project Fund through the Indian Affairs Department to help supplement the FY 2012 Severance Tax Bond Project we currently have. We are proud to announce that we received funding for this Special Project in the amount of the  35,000 and which will be utilized towards the current FY 2012 Project.  We will continue to search and meet finally our needs for the Handicap Van which is much needed for the community.  Respectfully Submitted:  Tonita Sarracino, CHR Director Funds have been expended and project is complete.","","Fully expended funds and complete project.","No goal for the project for next quarter.","FALSE","FALSE","9/8/14 0:00","9/8/14 0:00"
"12-1402","Interstate Stream Commission","","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1402","2012","EAST PECOS DITCH ASSN REPAIRS","SEVERANCE TAX BONDS","","6/21/12","STB12A","60000","Local","Acequias & Dams (rivers, conservation)","San Miguel","60000","64 / 15/ 12","6/30/16","0","55800","0","0","4200","5/26/15 0:00","","/","12045 - East Ditch Pecos","0","***","42387","0","0","","0","Repairs underway, invoice being submitted.","","","0220 - Project in Construction","17613","5/26/15 0:00","3/17/15 0:00","0","0","","","","","","","",""
"12-1317","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1317","2012","WEST MESA HIGH SCHL IMPROVE & RENOVATE","SEVERANCE TAX BONDS","","6/21/12","STB12A","484000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","484000","64 / 8/ 55","6/30/16","0","479160","0","0","4840","5/26/15 0:00","121317","2012 /","02112 - Albuquerque Public Schools","0","***","479160","4840","0","","0","Project complete","","","0250 - Project Closed","0","5/26/15 0:00","1/1/80 0:00","479160","0","Expended Amount: 479,160","","Expended $479,160","Project Closed","TRUE","FALSE","8/28/14 0:00","8/28/14 0:00"
"12-1124","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1124","2012","GOB-ALTS FORT SUMNER SENIOR CTR MEALS EQUIP","GENERAL OBLIGATION BONDS","","4/23/13","GOB13","23950","Local","Senior Citizens","De Baca","23950","54 / 10/A/ 24","6/30/16","0","0","0","0","23950","5/26/15 0:00","121124","/","27001 - Fort Sumner","0","***","0","0","0","","0","Grant agreement is fully executed.  Funds will be used to purchase and install a commercial convection oven and commercial dishwasher","No progress this quarter.  Village held a meeting to discuss other options for the fundings.  Considering converting an existing building into the senior center.  Equipment purchase on hold until final decision","Work with the Village to get project moving.  Awaitng decision on conversion of an existing facility.","0150 - Grant Agreement Issued","23950","5/26/15 0:00","3/16/15 0:00","0","23950","New CDBG Grant application process started for construction of new Senior Center building.","","A list of equipment to be purchased was made.","Submit application for new grant.","TRUE","TRUE","5/29/15 0:00","5/29/15 0:00"
"12-1320","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1320","2012","FORT SUMNER MSD VOCATIONAL EQUIP","SEVERANCE TAX BONDS","","6/21/12","STB12A","10000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","De Baca","10000","64 /  8/ 62","6/30/14","0","10000","0","0","0","5/26/15 0:00","","/","27003 - Fort Sumner Municipal Schools","10000","***","10000","0","0","","0","project complete","","","0250 - Project Closed","0","5/26/15 0:00","1/1/80 0:00","0","0","","","","","","","",""
"12-1321","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1321","2012","GADSDEN MID SCHL FAMILY RESOURCE CTR TECH EQUIP","SEVERANCE TAX BONDS","","6/21/12","STB12A","65000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Dona Ana","65000","64 / 8/ 64","6/30/16","0","64898","0","102","0","5/26/15 0:00","","/","07010 - Gadsden Independent Schools","0","***","64898","0","0","","0","project complete","","","0100 - Appropriated","102","5/26/15 0:00","1/1/80 0:00","56269","8713","District obtaining equipment price quotes to submit for project approval.  PO s have been issued and  56,268.95 have been received and paid to date.  RfR is in process to be submitted.  One open PO is pending delivery of items ordered.","","","","FALSE","FALSE","1/1/80 0:00","4/19/13 0:00"
"12-1555","General Services Department","mailto:pamela.nicosin@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1555","2012","STW-DOIT ERRF TWO-WAY RADIOS STATEWIDE, RET","SEVERANCE TAX BONDS REAUTH","","6/21/12","STB12A","3000000","Reauthorized Project","","Statewide","0","64 / 37","6/30/16","0","3986468","0","0","0","5/26/15 0:00","","/","","0","***","0","0","0","","0","","","","","0","5/26/15 0:00","","0","0","","","","","","","",""
"12-1524","Department of Transportation","mailto:AudreyS.Gonzales@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1524","2012","EDGEWOOD ROADS IMPROVE","SEVERANCE TAX BONDS","","6/21/12","STB12A","477000","Local","Highways, Roads & Bridges (streets, overpasses, drainage, lights, etc.)","Santa Fe","477000","64 / 18/ 46","6/30/16","0","477000","0","0","0","5/26/15 0:00","","/","01002 - Edgewood","0","***","477000","0","0","","0","Project closed.","","","0250 - Project Closed","0","5/26/15 0:00","3/14/13 0:00","0","0","","","","","","","",""
"12-1285","Public Education Department","mailto:Christopher.Thweatt@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1285","2012","ACADEMIA DE ESPERANZA INFO TECH/EQUIP PURCHASE","SEVERANCE TAX BONDS","","6/21/12","STB12A","100000","Local","Public Schools, Charter Schools & Special Schools (facilities, equipment","Bernalillo","100000","64 /  8/  1","6/30/16","0","100000","0","0","0","5/26/15 0:00","","/","02132 - La Academia de Esperanza","100000","***","100000","0","0","","0","Proj complete","","","0245 - Purchase Complete","0","5/26/15 0:00","1/1/80 0:00","0","0","","","","","","","",""
"12-1109","Aging and Long Term Services Department","mailto:rebeccas.martinez@state.nm.us","http://cpms.dfa.state.nm.us/doShowAppropriations.aspx?pid=12-1109","2012","GOB-ALTS ISLETA PUEBLO SENIOR CTR EQUIP","GENERAL OBLIGATION BONDS","","4/23/13","GOB13","6500","Local","Senior Citizens","Bernalillo","6500","54 / 10/A/  9","6/30/16","0","6500","0","0","0","5/26/15 0:00","","/","02106 - Isleta Pueblo","0","***","6500","0","0","","0","Contract negotiations completed.  Award has been issued to Bardbury Stamm Construction, Inc.  Grant agreementis fully executed.  Funds will be used to replace old worn furnishings. // NOO issued on 9/18/14 for Bradbury Stamm to purchase and install audio visual equipment identified in schedule of values; projected purchase completion date 10/31/14.  10/22/14 RM  Purchased AV equipment.  Project complete 11/7/14 RM","No progress this quarter.  Notice of obligation issued for $6,500.00 for Bradbury Stamm Construction, inc. on 09/18/2014","Continue to monitor the progress of the project.  Require attendace at the upcoming trainings for asset management and application process","0245 - Purchase Complete","0","5/26/15 0:00","3/16/15 0:00","6500","0","Audio/ Visual equipment has been purchased","","Final Report & Request for Payment was submitted on 10/30/14.","Receive reimbursement","TRUE","TRUE","11/26/14 0:00","11/26/14 0:00"
